Drawback,Rarity
have a dodgy ticker,common
are blind in one eye,uncommon
tend to bleed uncontrollably,common
are branded,uncommon
have a choleric temperament,rare
have a crop ear,uncommon
are cursed,rare
made deal with the devil,very rare
are debt-ridden,common
a dunderhead,common
are a eunuch,uncommon
are lily-livered,common
have a melancholic temperament,rare
are a ne'er do well,uncommon
have a nemesis,rare
are addicted to painkillers,uncommon
suffer from a persecution complex,rare
possess a phlegmatic temperament,rare
suffer from a sour stomach,uncommon
have a massive facial wound,rare
have a prosthetic limb,uncommon
suffer with weak lungs,common
