Companion,Rarity
Clawfish,common
Bear,common
Blood Hawk,common
Camel,uncommon
Wildcat,common
Basilisk,uncommon
Chimera,rare
Earth Elemental,very rare
Gibbering Mouther,very rare
Abyssal Hyena,very rare
Skitterling,rare
Worg,rare
Griffon,rare
Hellhound,rare
Kingfissure Worm,very rare
Drangolin,uncommon
Lightbender,rare
Manticore,rare
Mimic,rare
Mohler,uncommon
Otyugh,rare
Owlbear,uncommon
Shambling Mound,rare
Stirge,common
Crawling Claw,uncommon
Wyvern,rare
Rotbeast,rare
Blood-Borne Ooze,rare
Stoneback Isopod,rare
Gem Jelly,uncommon
Leyleech,rare
